"";"groupWnt1.OVX.b1";"groupWnt1.OVX.b2";"groupWnt1.OVX.b3";"AveExpr";"F";"P.Value";"adj.P.Val"
"Col1a2";-0,263915029354538;-0,209022436249031;-0,815283874208616;0,636462872229682;6,51308324045137;0,00319570146336324;0,529254266967478
"Lmbrd1";-0,00985870198937885;-0,254330007177263;-0,0236629466639283;0,117755337720443;6,50324505275356;0,0032181510793669;0,529254266967478
"Josd1";0,0932359033144989;-0,0267301321058681;-0,108176232072328;0,0437743698935395;6,49357568329363;0,00324038462640375;0,529254266967478
"Prdm1";0,0958299790607402;-0,0245897601703842;-0,103390093717517;0,0545532121267449;6,45715385545556;0,00332566185816152;0,529254266967478
"Mycbp2";0,194421838506442;-0,204327892562084;-0,0015780291695145;0,0959054229660544;6,45646189092365;0,00332730572243225;0,529254266967478
"Ccndbp1";0,00080472239383067;-0,278861595428788;-0,0681947154684439;0,0844893898813047;6,44335594260265;0,00335861023290107;0,529254266967478
"Angptl6";-0,0030177639013232;-0,0650415153605381;0,109466012408991;0,0625513470754845;6,43397594993856;0,00338121390704747;0,529254266967478
"Hebp1";-0,0466706409693743;-0,182310000275363;0,0659778562605592;0,117411840255457;6,42715144609323;0,00339776457940774;0,529254266967478
"H1f2";0,0111574154604233;-0,657842809283127;-0,0262729850579956;0,580000790407355;6,41469066604181;0,00342821463211153;0,529254266967478
"Myh9";0,190251780201137;-0,190224750724376;-0,00942661978807228;0,110636455881111;6,41314657647549;0,00343200873455385;0,529254266967478
"Srp9";0,0958312003496493;-0,358894187707619;0,00400087604353558;0,177631052891084;6,39369047220846;0,00348021366712324;0,529254266967478
"Arv1";0,154260920166817;-0,172816084779721;0,0599587479599476;0,0763771555236514;6,39264661175671;0,00348282092973791;0,529254266967478
"Ttc13";-0,0287827721020818;-0,201046225281795;0,0248059432070925;0,0534818410936918;6,388599464293;0,00349294986891757;0,529254266967478
"Actb";0,316004214652793;-0,809567646834465;-0,179205734016705;1,04135466363998;6,37827506560543;0,00351893616694347;0,529254266967478
"Hdgf";-0,0710018997953825;-0,554469260710418;-0,143765171094683;0,315763849490516;6,33777743145075;0,00362294022176826;0,529254266967478
"Elmo1";-0,124577633648428;0,233518969238702;0,024877904961809;0,0410270787126433;6,31976148532209;0,00367029054555591;0,529254266967478
"Rbm14";0,195712771521808;-0,0791603097552201;-0,0178548612669997;0,0751437811922328;6,29696214354983;0,00373119109088248;0,529254266967478
"Bpifa6";-0,0337561118124635;-0,0303181573392367;0,125689326486086;0,0533256687417649;6,28540686424033;0,00376248069650099;0,529254266967478
"Tap2";0,127558428421593;-0,321067241612731;0,0521952822311692;0,246525040421702;6,2842865282082;0,00376552967554009;0,529254266967478
"Eif5";-0,0362215751914602;-0,399818949671993;0,0258026747441941;0,227320946554861;6,28114821511628;0,00377408502756803;0,529254266967478
"Asap1";0,0831080459103154;-0,141511035338035;0,0706427944032016;0,0553336203122712;6,27824515297392;0,00378201809839136;0,529254266967478
"Dym";0,07975473754449;-0,000920028005976557;-0,136868281121122;0,169891988413285;6,2767850824316;0,00378601489871386;0,529254266967478
"Tgfbi";0,0877919799632721;0,18816156843853;0,0323777704721876;0,0610175763481764;6,27273425508871;0,00379712798403404;0,529254266967478
"Rexo4";0,203810223645956;-0,152777808059841;0,00733364926675189;0,145538002933175;6,26279545037329;0,0038245464999763;0,529254266967478
"Notch1";0,118607660011158;-0,0352442851278873;0,0809989708015731;0,065131336751616;6,25795179810929;0,00383798769782152;0,529254266967478
"Gm5724";0,116456072160242;0,0926009959372036;0,058299333829572;0,0379396441613351;6,25572366852966;0,00384418822407482;0,529254266967478
"Mcm4";0,166463775203125;0,00475936718621895;0,0785467214137801;0,0833288295222576;6,2444027748794;0,0038758631065003;0,529720151869428
"Taok2";0,31296765183131;-0,0659294754319286;-0,00568852013814849;0,178169432303148;6,23323440964582;0,00390739268123914;0,530159569300882
"Olfr716";0,0602676921908352;0,0781103883150738;0,0949637278221915;0,0277747107471297;6,19734588157583;0,00401063488003911;0,537267752877016
"Tln1";0,0103224735929596;0,0332641386898646;0,135309455376107;0,0702300270672934;6,19510856260634;0,00401716969679461;0,537267752877016
"Msi2";0,157965622134622;-0,0985234746400582;-0,0476318170031414;0,052236687831613;6,15777801832728;0,00412795122294019;0,539441313488055
"Col2a1";0,0152343721552653;0,299484944458245;-0,0137052181602784;0,059422315405899;6,15130800319266;0,00414749094803221;0,539441313488055
"Psap";0,215894400958585;-0,201912516126757;0,0620759019959903;0,149828410015662;6,15094353688727;0,0041485946738654;0,539441313488055
"Spag1";0,132665405898882;-0,0671094806078378;0,0606044995421462;0,0761036435481205;6,15092127557325;0,00414866209903225;0,539441313488055
"Olfr568";0,151324474442593;-0,00715246989427053;-0,0191614655030653;0,0379382350029399;6,10370618879744;0,0042944164774798;0,55101843116768
"Tent5a";0,159801108933388;-0,072657631251896;0,0434094079553318;0,0533371449225501;6,10302670588875;0,00429655473993171;0,55101843116768
"Hoxb4";-0,0685977160330327;-0,0679637700829159;-0,107004027534796;0,0494952570768093;6,09144885268863;0,0043331695355537;0,55193378492318
"Dynlt5";-0,0650601112938201;-0,00204630265770322;0,115536443760426;0,0512575628067918;6,07130612968263;0,0043976909761043;0,552276763090406
