"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Olfr921",-0.024731504172389,0.0525655380165414,-0.820908404980967,0.420250428131667,0.999404657273207,-5.49679895693336
"Gmpr",-0.0287012102068926,0.0583525572779296,-0.8208901246077,0.420260627564557,0.999404657273207,-5.49681280428059
"Cnot11",-0.0214825045441383,0.0500385350175844,-0.820692278697759,0.420371024521797,0.999404657273207,-5.49696265368591
"Vmn1r226",0.0295219063949296,0.0534447608993097,0.820529544476204,0.420461842969986,0.999404657273207,-5.49708588396609
"Atm",-0.0236778513391495,0.0323715653908469,-0.820524487501759,0.420464665355025,0.999404657273207,-5.49708971298662
"Tmem145",0.0207311625398252,0.0224787778304948,0.820487908011854,0.420485081355627,0.999404657273207,-5.49711740944604
"Ubxn2b",-0.0285143710675955,0.0394256839443684,-0.820161356392796,0.420667366159011,0.999404657273207,-5.49736460939706
"Adrb3",0.0231863249570509,0.0451557788966787,0.820106627165827,0.420697921476427,0.999404657273207,-5.49740603046169
"Dusp29",0.0295301782590447,0.0583322632428372,0.8199605400403,0.42077948870237,0.999404657273207,-5.49751658181271
"Ipo13",-0.022470606136103,0.0557621873278674,-0.819949442378443,0.420785685447267,0.999404657273207,-5.49752497920782
"St3gal4",0.0366842347814622,0.0452153665974515,0.819885468967554,0.420821408222459,0.999404657273207,-5.49757338462576
"Pcdhb17",0.0275224083711102,0.0367052196904611,0.819765465105651,0.42088842354627,0.999404657273207,-5.49766417588142
"Nup214",0.026950945536279,0.044729604372456,0.819682410447261,0.420934808758615,0.999404657273207,-5.49772700520523
"Vmn1r177",0.0216241255924359,0.0141212932973859,0.819622328427632,0.420968365973676,0.999404657273207,-5.49777245243055
"Irgq",0.0322148615236797,0.0569750685736028,0.819433670350447,0.421073746820336,0.999404657273207,-5.49791513682851
"Asic4",0.0287664919794705,0.0458907059076854,0.819404559957635,0.421090008808562,0.999404657273207,-5.49793715063094
"Xkr7",0.0240146318410267,0.0433900296615801,0.819339037743052,0.421126613033816,0.999404657273207,-5.49798669702596
"Olfr1383",-0.0225128057625391,0.0231493492753099,-0.819217072451602,0.421194754698017,0.999404657273207,-5.49807891449044
"Nlrc5",0.0317635980583245,0.0836054772627079,0.81900638159115,0.421312483353369,0.999404657273207,-5.49823818668559
"Hgsnat",0.0225887133228562,0.0299477241276599,0.818937083275356,0.421351209979802,0.999404657273207,-5.49829056449963
"Kif15",-0.0192985089945359,0.014597305126621,-0.818801229476475,0.421427136897524,0.999404657273207,-5.49839323495454
"Neurl2",0.0293520392923733,0.0496587582978557,0.818706688329097,0.421479979767284,0.999404657273207,-5.49846467427171
"Rax",0.0285655149542706,0.0475954264166788,0.818599708415747,0.421539780168887,0.999404657273207,-5.49854550352468
"Sirt6",-0.0271985820186397,0.0891623731621763,-0.818517187822699,0.421585911752219,0.999404657273207,-5.49860784564126
"Creb3l1",0.0228939826742203,0.0288818182388993,0.818465719030046,0.421614686011541,0.999404657273207,-5.49864672596408
"Bccip",-0.0299003615754324,0.0653864929356944,-0.818463302627727,0.421616036961085,0.999404657273207,-5.49864855129548
"Rasgef1c",0.0215131667494787,0.0234698127033112,0.818392132565746,0.421655827561475,0.999404657273207,-5.49870231033766
"Nmur1",0.023435720856515,0.0528064222907375,0.818342963820478,0.421683318778244,0.999404657273207,-5.49873944789816
"Pth1r",-0.0309372260390666,0.0470630645855543,-0.818297892271664,0.421708520157054,0.999404657273207,-5.49877348897475
"Zmym1",0.0276343910249014,0.0445192160762252,0.818249743157699,0.42173544337203,0.999404657273207,-5.49880985249458
"Zfp1",0.0195388779096097,0.0188140660471411,0.818225742579988,0.42174886401479,0.999404657273207,-5.49882797763421
"Ero1b",-0.0235474587585833,0.0284161309077375,-0.818148091703361,0.421792286662388,0.999404657273207,-5.49888661584878
"Asf1b",-0.0251257440036067,0.0441795368888953,-0.817887150371608,0.4219382264851,0.999404657273207,-5.49908362799294
"Olfr572",0.0206700268972533,0.0249694232367322,0.81774473879002,0.422017888063079,0.999404657273207,-5.49919112467033
"Olfr347",-0.02774806652762,0.0421352791409029,-0.817541980703947,0.422131322244037,0.999404657273207,-5.49934414248008
"Sec1",0.0301075269949725,0.0556520435904092,0.817517413423649,0.422145067846192,0.999404657273207,-5.49936268053966
"Cyp2c69",-0.0221702895558643,0.0240990260213466,-0.817511719157975,0.422148253876209,0.999404657273207,-5.49936697726292
"H2-M11",0.0221925906273754,0.025948638448443,0.817492705840526,0.422158892231369,0.999404657273207,-5.49938132394264
"Dnai3",-0.0290008714297187,0.0442498176362781,-0.817482843943199,0.422164410238549,0.999404657273207,-5.49938876520795
"Zfp566",0.0203242468694736,0.0165914164780619,0.817253808586584,0.422292574613104,0.999404657273207,-5.49956155948021
"Klhl10",0.0221606269134066,0.0336593116292387,0.817189554714235,0.422328534381863,0.999404657273207,-5.49961002725239
"E030018B13Rik",0.0311212863926221,0.0413278945602602,0.816873884363175,0.422505227546709,0.999404657273207,-5.49984809078861
"Sestd1",0.0281475029493534,0.0517157395230959,0.816863757384152,0.422510896782068,0.999404657273207,-5.49985572664585
"Cacna1b",-0.0229921229313113,0.0648545469639954,-0.81608426168973,0.422947412939658,0.999404657273207,-5.50044320887905
"Ppp4c",-0.0254424060751417,0.0807933849269741,-0.816051638909269,0.422965687779829,0.999404657273207,-5.50046778421146
"Hmcn1",0.0303155071841675,0.0408919444595264,0.816034516513422,0.422975279711764,0.999404657273207,-5.50048068245425
"Selenot",0.0264955630575474,0.0584965506432688,0.815984955149179,0.423003044655199,0.999404657273207,-5.50051801543155
"Ercc5",-0.0202901517637653,0.0173403906456212,-0.815874164963179,0.423065114927562,0.999404657273207,-5.50060146241601
"Tjp3",0.0357667884701516,0.0599297144306438,0.815786316969167,0.423114335867726,0.999404657273207,-5.50066762182627
"Cd180",-0.0276516296880848,0.0714733350544004,-0.815672389814321,0.423178174204491,0.999404657273207,-5.50075341182449
"Olfr685",0.0274608947555111,0.0556552496153544,0.815625298880321,0.423204563059415,0.999404657273207,-5.50078886919385
"Gm17349",0.0271910905772784,0.0642093276272911,0.815592531398686,0.423222925933351,0.999404657273207,-5.50081354051079
"Triqk",0.026747159912545,0.0288439973775593,0.815113912630624,0.423491200293636,0.999404657273207,-5.50117379655914
"Krt10",-0.0270861330965883,0.0493565590252604,-0.814996315002761,0.423557132113797,0.999404657273207,-5.50126228186703
"Ndufa11",0.0229333950744219,0.0276493642475918,0.814889961500066,0.4236167653675,0.999404657273207,-5.5013422963194
"Neurl3",-0.0275712425222535,0.064587980202597,-0.814578691035277,0.423791327315951,0.999404657273207,-5.50157642259988
"Mylk4",-0.0220675934251377,0.0239135070687415,-0.814572778215438,0.423794643687895,0.999404657273207,-5.5015808691951
"Cd109",0.0230956470646259,0.0339042176711235,0.814542642140051,0.423811546608358,0.999404657273207,-5.50160353184186
"Fam187b",0.0270522719935512,0.0358097293203556,0.814454501976103,0.423860985659835,0.999404657273207,-5.50166980966155
"Ptgir",-0.0251301630519392,0.0511652461071433,-0.814392310848854,0.423895871699935,0.999404657273207,-5.5017165708125
"Cct6a",-0.0359879015125029,0.0911927117084454,-0.814349152977641,0.42392008211087,0.999404657273207,-5.50174901899899
"Traj49",0.0280321758212766,0.0300172495012917,0.814304687177039,0.423945027138022,0.999404657273207,-5.50178244886331
"Thrsp",-0.0224349176014638,0.0421995719957714,-0.814214606721669,0.423995564500445,0.999404657273207,-5.50185016706469
"Cbln1",-0.0309583728289359,0.054830159611504,-0.814098877840417,0.42406049678265,0.999404657273207,-5.50193715621889
"Pitpna",0.0189790657110705,0.0200178676122899,0.814092292653279,0.424064191736087,0.999404657273207,-5.50194210571368
"Tnk1",0.0294765092427405,0.0407753074413209,0.814041195056018,0.424092863319109,0.999404657273207,-5.50198050992014
"Rere",-0.0209980397387011,0.0209644133559113,-0.813986263161438,0.424123687729945,0.999404657273207,-5.50202179340618
"Efemp2",-0.0362604497603524,0.0581149018808473,-0.813959450247434,0.424138734000948,0.999404657273207,-5.50204194341978
"Elob",-0.0213901491433133,0.0183284921012053,-0.813762828493968,0.424249079974418,0.999404657273207,-5.50218968643993
"Tcaf2",-0.0175302668400687,0.0107952711843406,-0.813725007321173,0.424270307625812,0.999404657273207,-5.50221810170522
"Nipsnap3b",0.0235558025000863,0.0359005711271349,0.813698081487307,0.424285420522846,0.999404657273207,-5.50223833048452
"Slc48a1",-0.0395065638892634,0.0729714969292929,-0.813628115117653,0.424324692726368,0.999404657273207,-5.50229089172391
"Olfr1417",0.0255907950723636,0.0344544904493859,0.813579187545029,0.424352157176611,0.999404657273207,-5.50232764534717
"Acbd4",-0.0325963295157486,0.0664848784379565,-0.813399239919195,0.424453176482466,0.999404657273207,-5.50246280133739
"Ccdc201",0.0266542853520968,0.0290036241622,0.813379500189556,0.424464258918743,0.999404657273207,-5.50247762584809
"Ctsg",-0.0327236135329486,0.0855545183181364,-0.813242262096986,0.424541313212295,0.999404657273207,-5.50258068214248
"Mecr",0.0270743805140685,0.0641103424891504,0.813138230818,0.424599728878403,0.999404657273207,-5.50265879155068
"Stag3",0.0234269789031408,0.0361591432532499,0.813057967503838,0.424644801778,0.999404657273207,-5.50271904894169
"Cacfd1",-0.0248510955974186,0.0441742111443245,-0.812931113185981,0.424716044542238,0.999404657273207,-5.50281427297901
"Serpinb9g",-0.0284977090023644,0.0508146080538009,-0.812823212856128,0.424776648407361,0.999404657273207,-5.50289525810748
"Slc19a2",-0.0250386125377317,0.0644479524315035,-0.812655828259312,0.424870673189451,0.999404657273207,-5.50302086948852
"Tmem170b",0.0304503299651324,0.0532008246419325,0.812520187943691,0.424946875806983,0.999404657273207,-5.50312264102236
"Arv1",0.0390286520016767,0.105201377307116,0.812363817879014,0.425034734954528,0.999404657273207,-5.50323994639913
"Vmn1r76",-0.0268335167588812,0.0445304195745723,-0.812310268555493,0.425064825144508,0.999404657273207,-5.50328011305198
"Gen1",0.0242353157723099,0.0369407403395313,0.812246333978857,0.42510075270753,0.999404657273207,-5.50332806629447
"Traj44",-0.0227598931778693,0.0326281127071121,-0.812182261911359,0.425136759431648,0.999404657273207,-5.50337611910697
"Cldn34d",-0.0279162659273582,0.0478584664782318,-0.812112116711057,0.425176181267848,0.999404657273207,-5.50342872257304
"Fap",0.0332488324770952,0.0628948905810612,0.811939244013063,0.425273346027185,0.999404657273207,-5.50355834550332
"P2ry10b",-0.0200858717171761,0.0211394758047047,-0.811849768251369,0.425323642172872,0.999404657273207,-5.50362542580256
"Alcam",-0.0212266843922313,0.0253810490687582,-0.811746653532274,0.425381609651726,0.999404657273207,-5.503702722673
"Dynlrb1",-0.0229655356100798,0.0394210345451914,-0.811692690923145,0.425411947500514,0.999404657273207,-5.50374317045924
"Grm7",0.025152204750118,0.0420989121094441,0.811652709829242,0.425434425792869,0.999404657273207,-5.50377313674422
"Ripk4",0.026894195616155,0.0471927753757835,0.811484055923493,0.425529255051252,0.999404657273207,-5.50389952952036
"Cd80",-0.0289436546054992,0.0507011225190705,-0.811431231550682,0.425558959390775,0.999404657273207,-5.50393911214458
"Prkcz",-0.0207334374937221,0.033927321748664,-0.811395884899076,0.425578836333834,0.999404657273207,-5.50396559692461
"Akap7",0.0332444717209155,0.0681760062311838,0.811393605600151,0.425580118101544,0.999404657273207,-5.50396730473608
"Dsel",-0.0201201805387986,0.0112893344537128,-0.81133825565092,0.425611244980021,0.999404657273207,-5.50400877543874
"Acrv1",0.0229684199882508,0.0306916953239047,0.811222795491928,0.425676180306468,0.999404657273207,-5.50409527490235
"Mme",0.0207451236165748,0.0263362407659795,0.811188576006526,0.425695426688642,0.999404657273207,-5.50412090894703
"Hcar2",0.0183791841980684,0.00973355696091106,0.811157920875495,0.425712668798304,0.999404657273207,-5.50414387204832
"Il5ra",0.0209948159910942,0.015245536671386,0.811111025514214,0.425739046136775,0.999404657273207,-5.50417899878192
"Scart2",-0.0275257650393886,0.0304095556531957,-0.81096159694378,0.425823102348384,0.999404657273207,-5.50429091478562
"Olfr723",-0.0310852630776529,0.0493503010470365,-0.810819709361483,0.425902926187809,0.999404657273207,-5.5043971649797
"Prl3a1",0.0222819877007344,0.0120160121634823,0.810754013023997,0.4259398891246,0.999404657273207,-5.50444635469699
"Ckap5",-0.0263046375338347,0.0391224453156134,-0.810670733471531,0.425986747832229,0.999404657273207,-5.50450870435865
"Denr",0.0293183018548384,0.0537932397596089,0.81053368058395,0.426063870042866,0.999404657273207,-5.50461129990641
"Itga3",0.0250994409429456,0.0262756544614532,0.810437897456851,0.426117774152252,0.999404657273207,-5.5046829919218
"Zpld2",0.0216856825330966,0.020798935658748,0.810428250891466,0.426123203209274,0.999404657273207,-5.50469021176851
"Ppp1r9a",-0.024189218336368,0.054713252945077,-0.810403679619523,0.426137032039334,0.999404657273207,-5.50470860145381
"Ctps2",-0.0372935615011834,0.0987777953017772,-0.810302935951707,0.426193733981687,0.999404657273207,-5.50478399477924
"Ak6",-0.0404261917115985,0.143534291091508,-0.810213617855524,0.426244009154283,0.999404657273207,-5.50485083021619
"Sema4g",0.0327652325952689,0.0533143271504139,0.810140383063159,0.426285234147005,0.999404657273207,-5.50490562559028
"Mfsd14b",0.0189534807686255,0.0306078684210672,0.810062796825083,0.426328911343162,0.999404657273207,-5.5049636717097
"Zranb1",-0.0234179815632378,0.0364652423333421,-0.80973389034082,0.42651410028221,0.999404657273207,-5.50520968504051
"Osbpl2",0.0246177177642984,0.0274599815274678,0.809664848342738,0.426552980346157,0.999404657273207,-5.50526131471527
"Cysltr1",0.0302420837588955,0.0406874694061373,0.809422755749609,0.426689328929194,0.999404657273207,-5.50544231914537
"Nudt22",0.0261547800987679,0.0337954767031162,0.809413606975178,0.426694482127581,0.999404657273207,-5.50544915837765
"Olfr1046",-0.0231229229187431,0.0296524652274913,-0.809353651735015,0.426728253865826,0.999404657273207,-5.50549397655359
"Mafk",-0.0344425622273028,0.061371915000978,-0.809351168011098,0.426729652939947,0.999404657273207,-5.50549583313767
"Mapk9",0.0302193726998525,0.0553363483833825,0.809334546625948,0.426739015789049,0.999404657273207,-5.50550825748847
"Ube2o",0.0245445553568877,0.0372849798021912,0.809282827830987,0.426768149874947,0.999404657273207,-5.50554691533665
"Tas2r110",-0.0243550638317784,0.0283916160314794,-0.809277514764197,0.42677114288686,0.999404657273207,-5.50555088652228
"Sh2d1b1",0.0234642644378921,0.0383802116355302,0.809233991266541,0.42679566148683,0.999404657273207,-5.50558341669734
"Mylk2",-0.0279873762126919,0.0433111309544753,-0.809130802050705,0.426853795774187,0.999404657273207,-5.50566053544427
"Krtap9-5",0.0223613588253439,0.0187289748034002,0.80911109013298,0.426864901548222,0.999404657273207,-5.50567526615043
"Ypel4",0.0345424804769706,0.0980464312964631,0.808837366540066,0.42701913710366,0.999404657273207,-5.50587978483082
"Fat3",0.025950382387087,0.0358052891244741,0.808802672682787,0.427038688592503,0.999404657273207,-5.50590570248007
"Trim17",0.0229049469495878,0.032388615396121,0.808725120843411,0.427082394420826,0.999404657273207,-5.50596363292049
"Daam2",0.0219514249312703,0.0481927793171956,0.808698637555608,0.427097320223441,0.999404657273207,-5.50598341447431
"Rbbp5",-0.0369034527824422,0.101448774884321,-0.808582884252498,0.427162561813085,0.999404657273207,-5.50606986866227
"Plekha5",0.0243503775662356,0.0257102344488446,0.80848705040223,0.427216580967422,0.999404657273207,-5.50614143655524
"Cfap126",0.0213843411783031,0.0241563457493465,0.80834929221298,0.427294239268976,0.999404657273207,-5.50624429923013
