"","groupWnt1.OVX.b1","groupWnt1.OVX.b2","groupWnt1.OVX.b3","AveExpr","F","P.Value","adj.P.Val"
"Tcte2",0.0362506751239541,0.0484873534919212,-0.0324858465304726,0.0117654148956156,1.22789476292892,0.331759516070454,0.864809887704732
"Npbwr1",0.0197377074629697,0.100622975978623,-0.0328614427516133,0.0235477888774368,1.22766536052701,0.331836568859288,0.864844267800707
"Tax1bp1",0.0077901724972489,0.0472753025304149,-0.0691332030973338,0.0285893932031768,1.22740858178108,0.33192283877635,0.864902652051055
"Olfr1406",0.0164353910975057,-0.0642034619826113,0.0283605428914095,0.00641901461952275,1.22716627535736,0.332004267580005,0.864948401609932
"Bloc1s6",-0.0585558800214394,-0.0478752823357778,-0.0105545197412373,0.00610189705973212,1.22656784890679,0.332205461084716,0.865094948298956
"Senp8",0.0529449731836446,0.00408533352149712,0.041835708340948,0.0158141346485144,1.22652202601593,0.332220872100881,0.865094948298956
"Tax1bp3",0.0235882295498437,0.139047679729334,-0.00584823850934721,0.0192665006610879,1.22642898520559,0.332252165566598,0.865094948298956
"Sprr1a",0.00276462474039313,-0.0728032999424589,-0.0450055872912792,0.00685562236664929,1.22549823678239,0.332565381541193,0.865447684799957
"Ctsh",0.00276462474039313,-0.0728032999424589,-0.0450055872912792,0.00685562236664929,1.22549823678239,0.332565381541193,0.865447684799957
"Arid4a",-0.00296810874255317,0.0319118556975316,0.0865927250975716,0.0421335908270935,1.2245857271319,0.332872754492539,0.865447684799957
"Adprh",0.00550866431965654,0.0460756808323125,0.0625721280246788,0.0180139965601695,1.22449276812388,0.332904083516961,0.865447684799957
"Trac",-0.0527746998577368,0.0624848252709365,0.0151600410042548,0.0163899449802488,1.2244807731843,0.332908126269631,0.865447684799957
"Gmppa",-0.000901181224079322,-0.111942130371141,0.0216214979262462,0.00826169256402762,1.22398979581202,0.333073647707363,0.865447684799957
"H3c15",0.0612892761235083,-0.0623162805798374,0.0218562551211985,0.0124510374808815,1.2239516413535,0.333086514124626,0.865447684799957
"Asz1",-0.0755288825785672,-0.0149204361765765,-0.0129496329712136,0.0132742675995771,1.2239290405404,0.333094135794428,0.865447684799957
"Pisd",0.112132599560335,-0.0729456438708638,-0.00717698720861702,0.0358792858040087,1.22379478603649,0.333139414121701,0.865447684799957
"Olfr1013",0.0209519642717466,-0.0843055784497415,-0.0346869056484945,0.00824275909476559,1.22366970438889,0.333181604527621,0.865447684799957
"Slc6a9",-0.0568345596496038,0.106487728819767,0.0231992386939185,0.0218310739285639,1.22343358299105,0.333261263935555,0.865447684799957
"Gm17657",0.0263169794685191,0.109698771429265,-0.00235455939320525,0.00848930259019125,1.22343057190414,0.333262279901268,0.865447684799957
"Astn2",-0.0226135464462221,0.0974334505153571,-0.0314843180668133,0.0115425718789481,1.22330017394006,0.333306280310565,0.865447684799957
"Hnrnpc",0.0459897126933132,0.0753262814542883,0.0277020218971862,0.010667572948949,1.22328129581988,0.333312650881873,0.865447684799957
"Olfr211",-0.0301356529822152,-0.0213142846074067,-0.0452543900475141,0.00836578506618678,1.22286925470256,0.333451728600837,0.865447684799957
"Slc7a4",0.0229444849475861,-0.100897310385339,-0.0311959666653762,0.00997453595557658,1.22232118439705,0.333636813166907,0.865447684799957
"Ascl3",-0.00215060744686704,-0.168444501144692,0.0215411282172224,0.0215305829958025,1.22209874705921,0.33371196086756,0.865447684799957
"Gcfc2",-0.0444672653696332,-0.048561668393612,-0.0372720268270191,0.00976047403550678,1.22167123370124,0.333856439804091,0.865447684799957
"Romo1",-0.0532366041538902,0.0859944911305828,0.00774162655139211,0.0146359867865785,1.2216234831372,0.333872581186186,0.865447684799957
"Fbxo31",0.0266783493382197,-0.0876332692830911,-0.0565716840153892,0.0162902641375635,1.22160681065371,0.333878217265056,0.865447684799957
"Fmnl2",0.0184866829920463,0.0848306156569387,-0.0213374096894034,0.00804658838051254,1.22139952874638,0.333948296403821,0.865447684799957
"Olfr1182",0.0340220616455606,0.0452426729900644,0.0386234919771517,0.00603440632570811,1.22122152284944,0.334008489791674,0.865447684799957
"Tln1",0.0345874517695495,0.00149430814910439,-0.0604933442310639,0.029163216965713,1.22119277070688,0.334018213486424,0.865447684799957
"Vmn1r84",0.0370334024509653,0.0964345521743028,-0.00501002318900872,0.0129871442642922,1.22115090590404,0.334032372275308,0.865447684799957
"Asb16",0.0136655635240021,0.0866311641401359,0.061726066472648,0.0144233639393427,1.22110438959477,0.334048104939409,0.865447684799957
"Ttll8",0.000719283407681928,0.133425941770642,0.0252901795667709,0.0128478532229798,1.22109120743464,0.334052563524807,0.865447684799957
"Ell2",-0.0445247503236598,-0.203390571477728,0.00653173700826939,0.0471533091258158,1.22010967588802,0.334384717520911,0.865447684799957
"Zranb2",0.058699312441907,-0.0349007262254144,-0.0187827136192575,0.00946809683899314,1.22000738219324,0.334419353612463,0.865447684799957
"Mri1",-0.0847457606807273,0.0101402454551583,-0.0972044232615306,0.0362275269267507,1.21990501777361,0.334454017340439,0.865447684799957
"Appl1",0.0107991760390706,-0.0261380054577193,0.0605298109380881,0.0161979100787264,1.21985302584665,0.334471624812871,0.865447684799957
"Sfn",-0.03979555437098,-0.0859308967844848,-0.0361777892782318,0.00824336673977615,1.21971302195774,0.334519042958688,0.865447684799957
"Arhgef37",-0.0631492045282423,0.0323566351471151,0.0101878702039994,0.00878794679136999,1.21970333724245,0.334522323346085,0.865447684799957
"H2ac21",0.0490700039924952,0.114090341522721,0.0186990706343144,0.0135066335262616,1.21940637799151,0.334622924832158,0.865447684799957
"Armcx1",0.0161050361011041,0.103911839443877,0.0234965013673818,0.0130220875806571,1.21933714872126,0.334646382238701,0.865447684799957
"Nrap",-0.0260575197816592,0.0081184082344806,0.044641883324587,0.0113775390421077,1.21930587243043,0.334656980342855,0.865447684799957
"Asic3",0.110203030314599,0.0820417911745414,0.0695226276713168,0.0225193877587325,1.21893616015586,0.334782285046897,0.865447684799957
"Irgq",0.0181028756084957,0.111605156863338,0.00469342293705034,0.0111248915564969,1.21886307763654,0.334807060238142,0.865447684799957
"Fig4",0.0828237287199182,-0.0293325896098927,0.0473354216121718,0.015362474149654,1.21883624024349,0.334816158666886,0.865447684799957
"Fbxw28",0.0367329087022882,0.117606956961612,0.0324799087003436,0.0153767636085719,1.21843204489244,0.334953219930457,0.865589082854667
"Gm867",-0.0246282642949249,0.0606709669171637,0.0505546610360599,0.0121481326023099,1.21821954590569,0.335025300721947,0.865589082854667
"Bex2",-0.0280061614813363,0.0967762528022399,0.0312277986299943,0.0191695369243533,1.21810955066208,0.335062617953342,0.865589082854667
"Cox18",0.0298770690709467,-0.0397740971978378,-0.0453012057760022,0.00758964919519925,1.21780901477508,0.33516460019535,0.865687395736301
"Snorc",-0.0231149726942271,0.0907027398324197,0.0263317009041113,0.0116893117796121,1.21755581058934,0.335250545892554,0.865744258672192
"4933402N22Rik",0.0888291131609279,-0.0761847644197399,0.00379269316172364,0.0256600517592842,1.2170688592621,0.335415896557584,0.865926700402726
