"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gfra3",-0.0207900585196333,0.0163810333353198,-0.53890122303233,0.597310728126101,0.95528451165327,-5.95127188912338
"Ints9",-0.014727053450557,0.0121204577213218,-0.538839089053292,0.59735262477329,0.95528451165327,-5.95130505340588
"Heca",0.0206636819538209,0.0209363115139559,0.538508777869769,0.597575376601132,0.955442821654275,-5.95148129662493
"Dynlrb1",0.0208544952168176,0.0171546773257199,0.53848305317449,0.597592726289448,0.955442821654275,-5.95149501811123
"Ercc6",0.0173320187898897,0.0180223560198584,0.538198125945249,0.597784908543131,0.955613101418153,-5.95164695534955
"Cav3",0.0147126891684751,0.0121690364229165,0.537945549193819,0.597955296240789,0.955613101418153,-5.95178157697067
"4931428L18Rik",0.021298784050937,0.0154351883348472,0.537843260893415,0.598024306565925,0.955613101418153,-5.95183607859833
"Rhox5",0.0123937627413037,0.00782055162143992,0.537835182098784,0.598029757213812,0.955613101418153,-5.95184038274606
"Mturn",-0.0218052039500593,0.0380774939389807,-0.537722680839092,0.598105662781984,0.955613101418153,-5.9519003136877
"Cog1",-0.0178657872328451,0.0196689199555324,-0.537623808733953,0.598172376597594,0.955613101418153,-5.95195297422619
"Nfic",0.0243290994001786,0.0224799471698628,0.537463308056171,0.598280682084556,0.955613101418153,-5.95203843906807
"Wdr53",0.011378595206371,0.00696600576579796,0.537359286685622,0.598350880671413,0.955613101418153,-5.95209381617621
"Gm6657",-0.0143327421435779,0.00761458517924482,-0.537346757407029,0.598359336303019,0.955613101418153,-5.95210048560147
"Adcy2",-0.0198187796531462,0.0166818026060377,-0.536949165354729,0.598627690009038,0.955613101418153,-5.95231204893077
"Ins1",0.0127400069308018,0.00668842079823211,0.536822559908477,0.5987131545705,0.955613101418153,-5.95237938549322
"Rassf7",-0.0127486476962658,0.00768936914081925,-0.536803357565767,0.598726117573778,0.955613101418153,-5.95238959714429
"Sf3b2",0.0219244799731556,0.0294969973802923,0.536543993758464,0.598901221006822,0.955613101418153,-5.95252749025759
"Olfr348",-0.0137759971008165,0.00963353023068541,-0.536502625867845,0.598929151925852,0.955613101418153,-5.95254947793541
"Numbl",0.0182351183439484,0.0119244880005022,0.536497533161408,0.598932590482151,0.955613101418153,-5.95255218467527
