"","groupWnt1.OVX.b1","groupWnt1.OVX.b2","groupWnt1.OVX.b3","groupWnt1.OVX.b4","AveExpr","F","P.Value","adj.P.Val"
"Pla2g1b",0.00323068766848751,-0.045111859886167,-0.0198005456785609,0.0012934572269248,0.0243447161635571,0.0898426523519816,0.984709806335757,0.999333663217976
"Cpt1c",-0.0363683517837572,0.0368180733820193,0.0258100021236684,-0.0173926030844433,0.0168540961875078,0.0894871193470957,0.984822365531541,0.999333663217976
"Ahr",0.000241320438692907,-0.0272262140008461,-0.0515952210427244,0.0227132288816693,0.0618139547069634,0.0894533489561453,0.984833038598726,0.999333663217976
"Slc4a3",-0.042133859383509,0.0381997844268635,0.00777446780382774,-0.00429429262348585,0.049136308054179,0.0893010975469604,0.984881117696847,0.999333663217976
"Trmt12",-0.00878868001767591,0.0483357258136658,0.0296016626806414,0.00581980438729717,0.0397593751917923,0.08868520544716,0.985074945224071,0.999333663217976
"Tyw3",-0.0134903523936771,0.0433757398319551,0.075731237048198,-0.00918914618229631,0.0583302065572585,0.0883640671221479,0.985175587893088,0.999333663217976
"Tchp",0.0436586857483931,0.00827944185352549,0.00695045752191789,0.0121008135222551,0.0504228594279074,0.0883296325928701,0.985186362217537,0.999333663217976
"Pcm1",0.0312899278802836,0.0115519268363234,0.0128759605027822,-0.00355331933474343,0.0232733717482421,0.088122801032213,0.98525100806664,0.999333663217976
"Slc25a29",-0.0131510721764268,-0.0153761000611805,-0.0238611504755327,-0.0481421202386428,0.0824236743863059,0.0879081869406791,0.985317958837245,0.999333663217976
"Crhr2",0.0423912864990202,-0.0482399905893452,-0.0169145530222497,0.037855560165501,0.0458679432925773,0.0877827517710042,0.985357029252103,0.999333663217976
"Cdin1",0.0272240542099591,-0.0363268654731633,-0.0347348819401421,-0.0130929743027742,0.0349863268419404,0.0876615139127604,0.985394750051404,0.999333663217976
"Pkd2",-0.0013628514359655,0.0381729533356534,-0.030186583522843,0.00291652210194223,0.0857818080864697,0.087660532291004,0.985395055294372,0.999333663217976
"Zmat1",-0.0271379885302546,0.04864920196467,-0.0110963643228946,-0.0419089416631499,0.0402392797081455,0.087640246651568,0.985401362662951,0.999333663217976
"Pcbd1",0.0126083026083468,0.00368425878939286,-0.0460705988915822,-0.00487758444129529,0.0495128032459367,0.0875904464738781,0.985416841987168,0.999333663217976
"Sumf2",0.0106227536060483,0.0465212841422177,0.0183660414787481,-0.00209775232851994,0.0588186857871521,0.0874960115429652,0.985446175813677,0.999333663217976
"Aldh3a1",-0.021066832337693,0.0304366594218377,0.0373381380776881,0.00653784021986949,0.0328144392125461,0.0873862111319437,0.985480250815641,0.999333663217976
"Nsmce2",0.00381286430721782,-0.0144729973736097,-0.0490459010254263,0.011011961893849,0.0212644816601214,0.0872298398511715,0.985528719512032,0.999333663217976
"Olfr1087",-0.00133248481898639,0.0448598423351217,0.0122166775861752,-0.0326765202329882,0.0238226158327775,0.0871010589114422,0.985568584316513,0.999333663217976
